,Date,Price,Number Sold,Item
379,2016-09-14,4.03,46,Righteous Thunderbolt
380,2016-09-15,4.02,58,Righteous Thunderbolt
381,2016-09-16,4.05,61,Righteous Thunderbolt
382,2016-09-17,3.979,59,Righteous Thunderbolt
383,2016-09-18,3.94,61,Righteous Thunderbolt
384,2016-09-19,3.79,52,Righteous Thunderbolt
385,2016-09-20,3.868,62,Righteous Thunderbolt
386,2016-09-21,3.855,46,Righteous Thunderbolt
387,2016-09-22,3.776,44,Righteous Thunderbolt
388,2016-09-23,3.815,67,Righteous Thunderbolt
389,2016-09-24,3.734,66,Righteous Thunderbolt
390,2016-09-25,3.614,53,Righteous Thunderbolt
391,2016-09-26,3.687,57,Righteous Thunderbolt
392,2016-09-27,3.609,76,Righteous Thunderbolt
393,2016-09-28,3.522,44,Righteous Thunderbolt
394,2016-09-29,3.501,57,Righteous Thunderbolt
395,2016-09-30,3.364,53,Righteous Thunderbolt
396,2016-10-01,3.427,88,Righteous Thunderbolt
397,2016-10-02,3.678,64,Righteous Thunderbolt
398,2016-10-03,3.567,45,Righteous Thunderbolt
399,2016-10-04,3.435,55,Righteous Thunderbolt
400,2016-10-05,3.297,69,Righteous Thunderbolt
401,2016-10-06,3.184,79,Righteous Thunderbolt
402,2016-10-07,3.145,72,Righteous Thunderbolt
403,2016-10-08,3.282,65,Righteous Thunderbolt
404,2016-10-09,3.358,72,Righteous Thunderbolt
405,2016-10-10,3.305,65,Righteous Thunderbolt
406,2016-10-11,3.183,63,Righteous Thunderbolt
407,2016-10-12,3.107,60,Righteous Thunderbolt
408,2016-10-13,3.12,61,Righteous Thunderbolt
409,2016-10-14,3.046,77,Righteous Thunderbolt
410,2016-10-15,3.043,83,Righteous Thunderbolt
411,2016-10-16,3.026,91,Righteous Thunderbolt
412,2016-10-17,3.128,66,Righteous Thunderbolt
413,2016-10-18,3.172,64,Righteous Thunderbolt
414,2016-10-19,3.121,82,Righteous Thunderbolt
415,2016-10-20,3.041,80,Righteous Thunderbolt
416,2016-10-21,3.005,67,Righteous Thunderbolt
417,2016-10-22,3.0,100,Righteous Thunderbolt
418,2016-10-23,3.056,80,Righteous Thunderbolt
419,2016-10-24,3.044,67,Righteous Thunderbolt
420,2016-10-25,3.058,62,Righteous Thunderbolt
421,2016-10-26,2.99,73,Righteous Thunderbolt
422,2016-10-27,2.921,71,Righteous Thunderbolt
423,2016-10-28,2.928,88,Righteous Thunderbolt
424,2016-10-29,2.914,77,Righteous Thunderbolt
425,2016-10-30,3.016,65,Righteous Thunderbolt
426,2016-10-31,2.954,66,Righteous Thunderbolt
427,2016-11-01,3.01,53,Righteous Thunderbolt
428,2016-11-02,3.178,54,Righteous Thunderbolt
429,2016-11-03,3.094,53,Righteous Thunderbolt
430,2016-11-04,3.118,58,Righteous Thunderbolt
431,2016-11-05,3.087,86,Righteous Thunderbolt
432,2016-11-06,3.039,76,Righteous Thunderbolt
433,2016-11-07,3.034,82,Righteous Thunderbolt
434,2016-11-08,3.051,76,Righteous Thunderbolt
435,2016-11-09,3.09,66,Righteous Thunderbolt
436,2016-11-10,3.047,68,Righteous Thunderbolt
437,2016-11-11,3.027,79,Righteous Thunderbolt
438,2016-11-12,3.169,82,Righteous Thunderbolt
439,2016-11-13,3.27,78,Righteous Thunderbolt
440,2016-11-14,3.298,65,Righteous Thunderbolt
441,2016-11-15,3.289,41,Righteous Thunderbolt
442,2016-11-16,3.202,49,Righteous Thunderbolt
443,2016-11-17,3.134,58,Righteous Thunderbolt
444,2016-11-18,3.069,78,Righteous Thunderbolt
445,2016-11-19,3.2,66,Righteous Thunderbolt
446,2016-11-20,3.263,59,Righteous Thunderbolt
447,2016-11-21,3.196,59,Righteous Thunderbolt
448,2016-11-22,3.294,59,Righteous Thunderbolt
449,2016-11-23,3.196,48,Righteous Thunderbolt
450,2016-11-24,3.0,59,Righteous Thunderbolt
451,2016-11-25,2.945,73,Righteous Thunderbolt
452,2016-11-26,2.935,85,Righteous Thunderbolt
453,2016-11-27,2.996,68,Righteous Thunderbolt
454,2016-11-28,2.912,63,Righteous Thunderbolt
455,2016-11-29,2.999,53,Righteous Thunderbolt
456,2016-11-30,3.048,67,Righteous Thunderbolt
457,2016-12-01,3.111,56,Righteous Thunderbolt
458,2016-12-02,2.969,65,Righteous Thunderbolt
459,2016-12-03,2.93,79,Righteous Thunderbolt
460,2016-12-04,3.036,75,Righteous Thunderbolt
461,2016-12-05,3.04,51,Righteous Thunderbolt
462,2016-12-06,3.014,70,Righteous Thunderbolt
463,2016-12-07,3.008,47,Righteous Thunderbolt
464,2016-12-08,2.963,60,Righteous Thunderbolt
465,2016-12-09,3.102,65,Righteous Thunderbolt
466,2016-12-10,3.308,71,Righteous Thunderbolt
467,2016-12-11,3.23,70,Righteous Thunderbolt
468,2016-12-12,3.151,56,Righteous Thunderbolt
469,2016-12-13,3.216,114,Righteous Thunderbolt
470,2016-12-14,3.225,99,Righteous Thunderbolt
471,2016-12-15,3.224,92,Righteous Thunderbolt
472,2016-12-16,3.268,102,Righteous Thunderbolt
473,2016-12-17,3.367,113,Righteous Thunderbolt
474,2016-12-18,3.554,102,Righteous Thunderbolt
475,2016-12-19,3.4,80,Righteous Thunderbolt
476,2016-12-20,3.32,75,Righteous Thunderbolt
477,2016-12-21,3.226,87,Righteous Thunderbolt
478,2016-12-22,3.13,88,Righteous Thunderbolt
479,2016-12-23,3.067,78,Righteous Thunderbolt
480,2016-12-24,3.193,99,Righteous Thunderbolt
481,2016-12-25,3.319,99,Righteous Thunderbolt
482,2016-12-26,3.311,98,Righteous Thunderbolt
483,2016-12-27,3.308,88,Righteous Thunderbolt
484,2016-12-28,3.213,82,Righteous Thunderbolt
485,2016-12-29,3.163,97,Righteous Thunderbolt
486,2016-12-30,3.27,85,Righteous Thunderbolt
487,2016-12-31,3.351,80,Righteous Thunderbolt
488,2017-01-01,3.532,85,Righteous Thunderbolt
489,2017-01-02,3.341,95,Righteous Thunderbolt
490,2017-01-03,3.285,101,Righteous Thunderbolt
491,2017-01-04,3.271,97,Righteous Thunderbolt
492,2017-01-05,3.294,92,Righteous Thunderbolt
493,2017-01-06,3.302,78,Righteous Thunderbolt
494,2017-01-07,3.469,99,Righteous Thunderbolt
495,2017-01-08,3.5,73,Righteous Thunderbolt
496,2017-01-09,3.237,71,Righteous Thunderbolt
497,2017-01-10,3.221,68,Righteous Thunderbolt
498,2017-01-11,3.236,72,Righteous Thunderbolt
499,2017-01-12,3.169,78,Righteous Thunderbolt
500,2017-01-13,3.283,84,Righteous Thunderbolt
501,2017-01-14,3.399,89,Righteous Thunderbolt
502,2017-01-15,3.422,84,Righteous Thunderbolt
503,2017-01-16,3.292,73,Righteous Thunderbolt
504,2017-01-17,3.261,87,Righteous Thunderbolt
505,2017-01-18,3.166,71,Righteous Thunderbolt
506,2017-01-19,3.182,66,Righteous Thunderbolt
507,2017-01-20,3.196,73,Righteous Thunderbolt
508,2017-01-21,3.31,91,Righteous Thunderbolt
509,2017-01-22,3.307,72,Righteous Thunderbolt
510,2017-01-23,3.242,77,Righteous Thunderbolt
511,2017-01-24,3.233,52,Righteous Thunderbolt
512,2017-01-25,3.224,81,Righteous Thunderbolt
513,2017-01-26,3.243,79,Righteous Thunderbolt
514,2017-01-27,3.06,116,Righteous Thunderbolt
515,2017-01-28,3.062,89,Righteous Thunderbolt
